id,location,location_area,seller_type,type,partitioning,comfort,price,rooms_count,useful_surface,built_surface,construction_year,real_estate_type,height_regime,level,max_level,kitchens_count,bathrooms_count,garages_count,parking_lots_count,balconies_count
101,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,850,2,88,100,2016,bloc de apartamente,S+P+13E,4,13,1,1,1,1,1
102,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,900,2,63,76,2016,bloc de apartamente,S+P+13E,12,13,1,1,1,1,1
103,"Bucuresti, Sector 1, zona Pipera",Pipera,agency,apartament,decomandat,lux,1400,3,90,107,2019,bloc de apartamente,S+P+8E,3,8,1,2,1,1,1
104,"Bucuresti, zona Aviatiei",Aviatiei,agency,apartament,decomandat,1,580,2,63,63,2020,bloc de apartamente,P+11E,6,11,1,1,,1,1
105,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,1000,2,54,78,2017,bloc de apartamente,S+D+P+13E,3,13,1,1,,1,1
106,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,650,2,60,70,2016,bloc de apartamente,S+P+13E,8,13,1,1,1,1,1
107,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,800,2,70,90,2016,bloc de apartamente,S+P+13E,11,13,1,2,1,1,1
108,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,800,2,70,80,2016,bloc de apartamente,S+P+13E,3,13,1,1,1,1,1
109,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,decomandat,lux,850,2,70,75,2016,bloc de apartamente,S+P+13E,12,13,1,1,1,1,1
110,"Bucuresti, Sector 1, zona Herastrau",Herastrau,agency,apartament,,lux,1600,3,120,,,bloc de apartamente,S+P+5E,Parter,5,1,2,1,1,1
111,"Bucuresti, zona Floreasca",Floreasca,agency,apartament,decomandat,2,1300,4,110,120,2019,bloc de apartamente,P+4E,4,4,,2,,,
